FIPS,x,y,pop,cancer,poverty,smoking,PM25,NO2,SO2
13295,969740.2733,1351864.506,31268.53333,95,15.15,15.15,29.50,2.12,0.12
45047,1265105.223,1324705.806,51639.26667,65,16.17,16.17,26.53,1.13,0.02
51097,1656798.071,1798464.495,33097.73333,76,12.49,12.49,27.43,2.39,0.09
42099,1566640.722,2086593.725,33646.2,70,8.56,8.56,25.41,3.32,0.11
13047,982225.8689,1372225.108,55292.93333,73,11.64,11.64,27.55,2.70,0.10
37099,1156077.938,1437274.96,27194.93333,58,17.27,17.27,25.83,0.87,0.03
13209,1259366.381,1100453.583,41802.8,87,22.35,22.35,24.57,0.69,0.01
13237,1164434.823,1216682.797,72074.06667,67,15.64,15.64,24.84,1.53,0.15
51163,1436054.549,1767464.309,18088.06667,61,10.61,10.61,24.95,1.71,0.03
37137,1729079.643,1519154.323,29877.86667,64,16.43,16.43,26.17,1.14,0.01
13197,1071814.999,1095905.649,38239.86667,64,22.07,22.07,29.11,0.76,0.03
34025,1820299.025,2125684.596,7923.933333,61,6.18,6.18,20.81,5.02,0.04
13217,1117382.249,1236773.733,7859.866667,75,12.47,12.47,25.47,2.47,0.14
13249,1092478.705,1088370.428,13928.46667,77,17.75,17.75,27.50,0.83,0.03
51143,1459738.423,1658545.822,36028.26667,72,12.98,12.98,28.16,1.93,0.10
51167,1222483.585,1632905.456,58181.8,83,18.17,18.17,29.49,1.77,0.05
13287,1164606.542,1036137.608,68845.53333,75,26.07,26.07,28.29,0.74,0.01
54105,1249192.815,1873699.746,25044.26667,91,18.85,18.85,30.53,2.76,0.28
51025,1594645.856,1677031.064,11306.46667,74,20.12,20.12,28.43,1.57,0.05
51093,1690124.337,1710628.896,15012.53333,70,9.01,9.01,22.83,2.23,0.06
24035,1699831.3,1961649.538,14500.86667,67,6.63,6.63,21.70,4.31,0.10
13125,1235765.269,1216094.351,14446.26667,70,16.13,16.13,28.77,1.26,0.06
42091,1727248.17,2098844.026,7618.6,53,5.43,5.43,20.43,5.06,0.06
37025,1385195.632,1483013.976,12461.93333,66,10.23,10.23,24.38,2.68,0.08
42011,1676333.766,2111342.483,27334.86667,57,10.77,10.77,24.40,4.30,0.09
45015,1479695.44,1250590.851,36083.73333,73,12.89,12.89,26.23,1.20,0.05
54049,1336346.909,1943122.147,10921.8,80,16.30,16.30,26.50,3.27,0.29
51087,1617200.64,1769762.462,14911.73333,64,8.18,8.18,20.61,3.25,0.09
36119,1835028.388,2232826.671,21997.06667,46,8.55,8.55,18.13,5.47,0.03
13185,1211163.789,943251.3662,74505.8,79,20.20,20.20,24.98,0.71,0.01
